Home > Freq List Builder > Frequency Text Input > Freq. List Output

	Text:	testi_all_new.TXT
	Date:	5/20/2008 10:31
	Tokens:	34542
	Types:	5435
	Ratio:	0.1573
	Sort:	descending

	---------------------------------------------------------
	RANK 	FREQ 	COVERAGE			WORD 
	 	 	individual	cumulative 
	---------------------------------------------------------
	1.	1069  	 3.09% 		3.09% 		EL  
	2.	1011  	 2.93% 		6.02% 		DE  
	3.	950  	 2.75% 		8.77% 		£A  
	4.	874  	 2.53% 		11.30% 		KE  
	5.	822  	 2.38% 		13.68% 		A  
	6.	655  	 1.90% 		15.58% 		E  
	7.	597  	 1.73% 		17.31% 		I  
	8.	579  	 1.68% 		18.99% 		XE  
	9.	531  	 1.54% 		20.53% 		NO  
	10.	452  	 1.31% 		21.84% 		PAR  
	11.	446  	 1.29% 		23.13% 		NA  
	12.	441  	 1.28% 		24.41% 		TE  
	13.	392  	 1.13% 		25.54% 		IN  
	14.	374  	 1.08% 		26.62% 		ON  
	15.	338  	 0.98% 		27.60% 		DA  
	16.	333  	 0.96% 		28.56% 		GA  
	17.	325  	 0.94% 		29.50% 		SO  
	18.	289  	 0.84% 		30.34% 		SE  
	19.	287  	 0.83% 		31.17% 		ME  
	20.	267  	 0.77% 		31.94% 		CLIFFORD  
	21.	263  	 0.76% 		32.70% 		£E  
	22.	262  	 0.76% 		33.46% 		MA  
	23.	249  	 0.72% 		34.18% 		XERA  
	24.	246  	 0.71% 		34.89% 		CO  
	25.	208  	 0.60% 		35.49% 		STA  
	26.	202  	 0.58% 		36.07% 		GHE  
	27.	188  	 0.54% 		36.61% 		GO  
	28.	178  	 0.52% 		37.13% 		MI  
	29.	146  	 0.42% 		37.55% 		T-BONE  
	30.	145  	 0.42% 		37.97% 		SI  
	31.	143  	 0.41% 		38.38% 		BAU  
	32.	141  	 0.41% 		38.79% 		GRAN  
	33.	140  	 0.41% 		39.20% 		DRIO  
	34.	136  	 0.39% 		39.59% 		DEL  
	35.	129  	 0.37% 		39.96% 		MIA  
	36.	124  	 0.36% 		40.32% 		BEN  
	37.	123  	 0.36% 		40.68% 		FAR  
	38.	121  	 0.35% 		41.03% 		ANCA  
	39.	117  	 0.34% 		41.37% 		TUTI  
	40.	114  	 0.33% 		41.70% 		VA  
	41.	111  	 0.32% 		42.02% 		CLEO  
	42.	107  	 0.31% 		42.33% 		AL  
	43.	101  	 0.29% 		42.62% 		STO  
	44.	99  	 0.29% 		42.91% 		PI  
	45.	96  	 0.28% 		43.19% 		COSA  
	46.	96  	 0.28% 		43.47% 		OH  
	47.	95  	 0.28% 		43.75% 		£O  
	48.	91  	 0.26% 		44.01% 		SU  
	49.	88  	 0.25% 		44.26% 		DE£A  
	50.	86  	 0.25% 		44.51% 		PROPI  
	51.	84  	 0.24% 		44.75% 		EMILY  
	52.	84  	 0.24% 		44.99% 		TI  
	53.	83  	 0.24% 		45.23% 		GAVEA  
	54.	81  	 0.23% 		45.46% 		DEI  
	55.	81  	 0.23% 		45.69% 		IDEA  
	56.	76  	 0.22% 		45.91% 		MEJO  
	57.	74  	 0.21% 		46.12% 		DESO  
	58.	72  	 0.21% 		46.33% 		TANTO  
	59.	70  	 0.20% 		46.53% 		GRASIE  
	60.	70  	 0.20% 		46.73% 		TUTO  
	61.	68  	 0.20% 		46.93% 		CUÀ  
	62.	68  	 0.20% 		47.13% 		PRIMA  
	63.	66  	 0.19% 		47.32% 		BEH  
	64.	66  	 0.19% 		47.51% 		CIAO  
	65.	66  	 0.19% 		47.70% 		KE'L  
	66.	66  	 0.19% 		47.89% 		NO'L  
	67.	65  	 0.19% 		48.08% 		CIÒ  
	68.	61  	 0.18% 		48.26% 		EH  
	69.	61  	 0.18% 		48.44% 		ESAR  
	70.	61  	 0.18% 		48.62% 		NOVA  
	71.	60  	 0.17% 		48.79% 		GHÈ  
	72.	60  	 0.17% 		48.96% 		PARKÉ  
	73.	59  	 0.17% 		49.13% 		GAVÉA  
	74.	58  	 0.17% 		49.30% 		FORSE  
	75.	58  	 0.17% 		49.47% 		TE'L  
	76.	57  	 0.17% 		49.64% 		MAN  
	77.	56  	 0.16% 		49.80% 		BE£O  
	78.	55  	 0.16% 		49.96% 		CO£ONIE  
	79.	55  	 0.16% 		50.12% 		FA  
	80.	54  	 0.16% 		50.28% 		ANCÓ  
	81.	53  	 0.15% 		50.43% 		O  
	82.	53  	 0.15% 		50.58% 		SA  
	83.	53  	 0.15% 		50.73% 		TOXI  
	84.	52  	 0.15% 		50.88% 		COME  
	85.	52  	 0.15% 		51.03% 		DOPO  
	86.	52  	 0.15% 		51.18% 		RENTO  
	87.	52  	 0.15% 		51.33% 		TO  
	88.	51  	 0.15% 		51.48% 		DO  
	89.	51  	 0.15% 		51.63% 		NEMO  
	90.	51  	 0.15% 		51.78% 		ROBA  
	91.	50  	 0.14% 		51.92% 		ELIZABETH  
	92.	50  	 0.14% 		52.06% 		POL  
	93.	50  	 0.14% 		52.20% 		XUGAR  
	94.	49  	 0.14% 		52.34% 		FRANKLIN  
	95.	48  	 0.14% 		52.48% 		MAI  
	96.	48  	 0.14% 		52.62% 		SPOTACIO  
	97.	47  	 0.14% 		52.76% 		DE£E  
	98.	47  	 0.14% 		52.90% 		FATO  
	99.	46  	 0.13% 		53.03% 		CAN  
	100.	45  	 0.13% 		53.16% 		A£A  
	101.	45  	 0.13% 		53.29% 		MAC  
	102.	45  	 0.13% 		53.42% 		NAR  
	103.	44  	 0.13% 		53.55% 		GAVEMO  
	104.	44  	 0.13% 		53.68% 		VIA  
	105.	43  	 0.12% 		53.80% 		BON  
	106.	43  	 0.12% 		53.92% 		CA  
	107.	43  	 0.12% 		54.04% 		CUSÌ  
	108.	43  	 0.12% 		54.16% 		ECO  
	109.	43  	 0.12% 		54.28% 		VOL  
	110.	43  	 0.12% 		54.40% 		WASHINGTON  
	111.	42  	 0.12% 		54.52% 		COFÀ  
	112.	42  	 0.12% 		54.64% 		PARTE  
	113.	41  	 0.12% 		54.76% 		GETTA  
	114.	41  	 0.12% 		54.88% 		KI  
	115.	41  	 0.12% 		55.00% 		ORCO  
	116.	41  	 0.12% 		55.12% 		STI  
	117.	40  	 0.12% 		55.24% 		AMIGHI  
	118.	40  	 0.12% 		55.36% 		MASA  
	119.	40  	 0.12% 		55.48% 		SO£O  
	120.	39  	 0.11% 		55.59% 		DITO  
	121.	39  	 0.11% 		55.70% 		RIDADA  
	122.	38  	 0.11% 		55.81% 		A-HA  
	123.	38  	 0.11% 		55.92% 		BONA  
	124.	38  	 0.11% 		56.03% 		NE  
	125.	38  	 0.11% 		56.14% 		SIOR  
	126.	38  	 0.11% 		56.25% 		STORIA  
	127.	37  	 0.11% 		56.36% 		BE£A  
	128.	37  	 0.11% 		56.47% 		GORDO  
	129.	37  	 0.11% 		56.58% 		HA  
	130.	37  	 0.11% 		56.69% 		VANTI  
	131.	36  	 0.10% 		56.79% 		DIR  
	132.	36  	 0.10% 		56.89% 		GNINTE  
	133.	36  	 0.10% 		56.99% 		GRANDO  
	134.	36  	 0.10% 		57.09% 		POSO  
	135.	35  	 0.10% 		57.19% 		LORA  
	136.	35  	 0.10% 		57.29% 		PÌ  
	137.	35  	 0.10% 		57.39% 		PIAXE  
	138.	35  	 0.10% 		57.49% 		VARDA  
	139.	34  	 0.10% 		57.59% 		ALBANY  
	140.	34  	 0.10% 		57.69% 		CAXA  
	141.	34  	 0.10% 		57.79% 		CREDO  
	142.	34  	 0.10% 		57.89% 		GOERA  
	143.	34  	 0.10% 		57.99% 		OHIO  
	144.	33  	 0.10% 		58.09% 		CHARLEY  
	145.	33  	 0.10% 		58.19% 		DÈI  
	146.	33  	 0.10% 		58.29% 		SEMO  
	147.	32  	 0.09% 		58.38% 		LA  
	148.	32  	 0.09% 		58.47% 		TENPO  
	149.	31  	 0.09% 		58.56% 		ANI  
	150.	31  	 0.09% 		58.65% 		BEH…  
	151.	31  	 0.09% 		58.74% 		FRANSEXI  
	152.	31  	 0.09% 		58.83% 		GNANCA  
	153.	31  	 0.09% 		58.92% 		NOVO  
	154.	31  	 0.09% 		59.01% 		SARIA  
	155.	31  	 0.09% 		59.10% 		SENPRE  
	156.	30  	 0.09% 		59.19% 		BEL  
	157.	30  	 0.09% 		59.28% 		CATÀ  
	158.	30  	 0.09% 		59.37% 		GNAM  
	159.	30  	 0.09% 		59.46% 		RAXON  
	160.	30  	 0.09% 		59.55% 		UNION  
	161.	29  	 0.08% 		59.63% 		DAL  
	162.	29  	 0.08% 		59.71% 		KIVE  
	163.	29  	 0.08% 		59.79% 		VISTO  
	164.	29  	 0.08% 		59.87% 		WHOA  
	165.	29  	 0.08% 		59.95% 		XO  
	166.	28  	 0.08% 		60.03% 		FIN  
	167.	28  	 0.08% 		60.11% 		FORA  
	168.	28  	 0.08% 		60.19% 		INSIEME  
	169.	28  	 0.08% 		60.27% 		LIDO  
	170.	28  	 0.08% 		60.35% 		LU  
	171.	28  	 0.08% 		60.43% 		MANIERA  
	172.	28  	 0.08% 		60.51% 		ÒMENI  
	173.	28  	 0.08% 		60.59% 		PIAN  
	174.	28  	 0.08% 		60.67% 		PUÌTO  
	175.	28  	 0.08% 		60.75% 		SENSA  
	176.	27  	 0.08% 		60.83% 		CERTO  
	177.	27  	 0.08% 		60.91% 		DAR  
	178.	27  	 0.08% 		60.99% 		DAVERO  
	179.	27  	 0.08% 		61.07% 		E£ORA  
	180.	27  	 0.08% 		61.15% 		HAMBURGER  
	181.	27  	 0.08% 		61.23% 		L'È  
	182.	27  	 0.08% 		61.31% 		VIEN  
